Month,Y
1,2017 Jan,91.59
2,2017 Feb,96.55
3,2017 Mar,123.38
4,2017 Apr,101.06
5,2017 May,101.94
6,2017 Jun,125.73
7,2017 Jul,106.91
8,2017 Aug,81.02
9,2017 Sep,89.7
10,2017 Oct,93.32
11,2017 Nov,118.36
12,2017 Dec,105.4
13,2018 Jan,106.01
14,2018 Feb,101.66
15,2018 Mar,91.66
16,2018 Apr,126.8
17,2018 May,107.47
18,2018 Jun,70.5
19,2018 Jul,110.52
20,2018 Aug,92.91
21,2018 Sep,83.98
22,2018 Oct,96.73
23,2018 Nov,84.61
24,2018 Dec,89.07
25,2019 Jan,90.62
26,2019 Feb,74.7
27,2019 Mar,112.57
28,2019 Apr,102.3
29,2019 May,82.93
30,2019 Jun,118.81
31,2019 Jul,106.4
32,2019 Aug,95.57
33,2019 Sep,113.43
34,2019 Oct,113.17
35,2019 Nov,112.32
36,2019 Dec,110.33
37,2020 Jan,108.31
38,2020 Feb,99.07
39,2020 Mar,95.41
40,2020 Apr,94.29
41,2020 May,89.58
42,2020 Jun,96.88
43,2020 Jul,81.02
44,2020 Aug,132.53
45,2020 Sep,118.12
46,2020 Oct,83.15
47,2020 Nov,93.96
48,2020 Dec,93
49,2021 Jan,111.7
50,2021 Feb,98.75
51,2021 Mar,103.8
52,2021 Apr,99.57
53,2021 May,99.36
54,2021 Jun,120.53
55,2021 Jul,96.61
56,2021 Aug,122.75
57,2021 Sep,76.77
58,2021 Oct,108.77
59,2021 Nov,101.86
60,2021 Dec,103.24
61,2022 Jan,105.69
62,2022 Feb,92.47
63,2022 Mar,95
64,2022 Apr,84.72
65,2022 May,83.92
66,2022 Jun,104.55
67,2022 Jul,106.72
68,2022 Aug,100.8
69,2022 Sep,113.83
70,2022 Oct,130.75
71,2022 Nov,92.63
72,2022 Dec,65.36
73,2023 Jan,115.09
74,2023 Feb,89.36
75,2023 Mar,89.68
76,2023 Apr,115.38
77,2023 May,95.73
78,2023 Jun,81.69
79,2023 Jul,102.72
80,2023 Aug,97.92
81,2023 Sep,100.09
82,2023 Oct,105.78
83,2023 Nov,94.44
84,2023 Dec,109.67
85,2024 Jan,96.69
86,2024 Feb,104.98
87,2024 Mar,116.45
88,2024 Apr,106.53
89,2024 May,95.11
90,2024 Jun,117.23
91,2024 Jul,114.9
92,2024 Aug,108.23
93,2024 Sep,103.58
94,2024 Oct,90.58
95,2024 Nov,120.41
96,2024 Dec,91
97,2025 Jan,132.81
98,2025 Feb,122.99
99,2025 Mar,96.46
100,2025 Apr,84.6
101,2025 May,89.34
102,2025 Jun,103.85
103,2025 Jul,96.3
104,2025 Aug,94.79
105,2025 Sep,85.73
106,2025 Oct,99.32
107,2025 Nov,88.23
108,2025 Dec,74.98
